Project Title,GAA Page,Amount
it .~S-Samnazouita Fast Om & CHF Ramn Ra (RO474Rl 7) alono €-S/Samnaotiita east Om & OFF rn ©,,
Tt Vein Mm. 1 ee Vp,,
eee eee,,
Tt «SsSRAMnAAtA Fact & Vv intrearnanne R44 s67i7) anno t Ss SAMNaAUITA Fact Nw VVvPCT fF tT,,
"OTft, a a a | UY UU UY",,
i eng,,
te of 6 J ho ewe ra mesa om ll teeearemr fF a art OW COA Br LU ere fF beet OS Bit FEE UelchA ltl em) OC6fl WR UT Cc mr ramos etn elt rte h0h0UCtC~=~—CSS tt,,
Fs . @ Bo FF OO eR En nnn BR @&e Fetal tt £Peet fT. h CUT,,
"te oe PY, Cee 06S CUT COCL KP RSH COS eee ee ee OS Re on ~-be ei) te OO",,
st. st. t st.,,
te Fee TE KO OTE iL ageLitiites Vvoeest Perel idid Lil PAL OL Tee sr ol a OOP OER PEEL OL 2S COE ELE sce LJii OU ES OP iid 68 PI] ]lCOUPEUCUCUT LAUT s BSERLT Gee? £.,,
st. st. t st.,,
saa NN aaa i,,
"SCD PL i Mwtimor Imtrerrkannn, STOO FVII FS alamo SEC OM ettin eT eevee hb anon | SF norm om ft",,
aaa meee eee lel,,
saa aaa i,,
saa A,,
"wpe PROVED WLC Ides PAs OPAMP Oe OP OP OU, PN TOT OO PO OT, PAP eam AnA Ann fl",,
Tt “ “Ta AIS. KNANR? . OSG 1 ee ee Ee,,
sca Naa a a,,
t EL g@ PF eX STL aiigas 2€ FSFE FL LT LL EUS CP EEE SL at UR U””]|h|™6CU a Pee PF LOUCUCetéCda‘(RSCiaéi ‘ia OL KR PT !])hClUlU a Pee kt tlU CU ttlté‘“‘i KOC t =F ET FST See ea eCOCUE,,
se 2s ~npelchiie ee a Fs . ee ee ee,,
Fs . —-. & FF 2h omer ELE CIAL Tet wwe te Bast ktsttlhCUrdrDl eee et hl(i—é‘<éir lh ha eh KlCUrlUlUL te Pr w!hCUmrTLhC(CatitCr Kk ie CU Pr!UhlC(i“i‘iéi<zi i enh te erlhUhtlhUmvhlhlc(<iéiaSw!wté‘i CSCC SZ! Fs . iL Le OP Loe eee de ae ate aeelhCU,,
eee eee ee ee a ee eee,,
st. tL § “PZ Puech PE EEE IRL PEE Pat reeset lhCUC PV ..hU.CUCU EP Ew PlCUPlCUT lle lCUuPlL Ca llU””.hlU Thee le ethThUt!UCmLtC eT t LL‘) FET Fee eae Rae Pe aeelCUE,,
_ 7 _ _ _ of Other Government eer TH - 00 00,,
s. SF ST FF TROLL CSE Tt Es UEC .lCUTlCUEC KES OP Uh EE OUOlCU]lCUSI Ra et CUP tlUtlC PLE ELE ka t | LT Fa Pee PLE Ree Pe CUE,,
Fs. a a ee a a -_—_ aa ee hlC(<i«—Cr rl —_ Fs. ee ee ee ee ee ee ee ee |=,,
st. FST. 2 eroeis gaeco.. «f@38 .« TEFL EES OF OUT TET 2 OSE BE Dek Ol me a eltlCUll wT Cet. COUT eS t KF Be FFF Gee TF OF,,
t Fe. af CPOE EET Ta CIEE OU .TlhCU8CUCLSIERE LL CET ETS Lo CORI Bet COU Ce CE PL CU BPE LEE COP aC t FF Pee Le Read CUE,,
To a om a | ae ep mmnmnuaunn ll,,
aaa a sa,,
"FAC Awe: Tre akarcnar, DA . YVMfiooe ; frADBDOs, .YHAMOoOo ; Wo YnAaAan? ; Mom .vowimnmy . ann | nennm owt to",,
saa a ee saa A,,
"CUmrhrPUCOCOllCO lUCUrCTlC iti rll! i, ee Oe ee ee i ee ee ee a, ee lk ee Fs. fF -s\ FrnrFereisrts#wTFe#+.FeNtsesehlhlUté<CwSSCi;”",,
te er PP Ee Be Pe UL NP RP CU PLU te de ee ee,,
Fs. ay =—_— -« _-_ axis eH#»»nhTA_«&e__f£&fefeenwrtmetenTen ck ClO ml Fs. CC ee ee ee ee ee ee ee ee |=,,
"i. ~~ /_ oe l—c cClClCUCCcrcrlrtltlté‘éti‘ ‘a‘lélTSGlllCCeSSlChCUDeltlté(itéi‘i ‘(i lQLlCOCOS CLS eae rT Cr TFT lee TFC re lc ;$;lhmhmlCrr,.ClUhvC RR R,.LClU MRT lUCUVTCOUOhCld)Wh(leeseFhfFfFhFhl O7owmWkz—l— ES Fs. lO, er a a, ee",,
t —T SLT EL ROG LP PEE OUP EE OUP OU””lhCUP REP OE OUTT.hClUP KG POU” lhCUmM LI AD OPOklCU”hlUc de A ST t TU STF SEPT Ree PLS OE,,
"eee, ee ee es ees",,
t [6—hU['hU SUT TCI Pi PES OU EPL CEE COUPEE ULC nel Bd COUt ee Tete t!})@6CUum me RESP OrUCUTlUCUSDlUmG!lUCUlmO AID EU”lhCUW RK SeUUCUClUlCdRCES ES t Taner Se. PEPE REPL ST OE,,
Fs. |—CcdhECL— ASR SC COtlhlUCUrsCLUElUCUMrPrmUmULaUL CE Oe klC(iCirC NC CUP OCOPrlUC ce elhUCkTlhlCO ll tOrrlC(<iSCOKSti‘é<‘izraRC COT OCT hCUrhrr er ae Uma ll CrCl kL CCL trhlCcrll( li UhUmrhrRhlCUrvhUCUrU rCTOUmrCrCUlC TT OCUCUVTCCTCTTlhC(C sesfshCcr/ar)hlCUmrhCUrvhrLCCr LC Cr LC CT OUCUThUCUC rc l( lc LUereOOCmCr OO Cc I CK UC lCUCUr CUCU lleEECTCrlClCrc ic l l(CllU UL LS TTT OK Fs. —hUd|l hU6vr cL FF h 6 6hlehehehUrhmhUCUraULUERlUCU lhlC<iraRTCrC ET hUCUrC ET UrUrlmlCétCSSC:;:,,
te £rvlittoaseretret frusrsrtie Obed wT OMIT ati.) hOUglCUP LT OW Oe aT PF hCUklCU a PlUC A Te CUlCU SY CUwW WIV IAM CUklCU PCE te AFT Griti gafittyt ft,,
saan Naa a,,
l reese ellCUll—FeS he a a a | ee a | |e,,
"2. £YlDOap-Rntrneltd CA tt, Da. VMOCLA ; CTO .§ VOMCZCeC . FEA | ce cnn mitt ff",,
t Lo g Qg e720) (EC Fk” Laetiiwt. ~ FRaetseer ii “FF FF £F “PERE FREE Lig 606CERU UCU OT t ~a de Fee cg See et sy UE,,
aaa eles,,
te FL) ioe me roi 6m OL mcter.f seranmmr Ded . WMitwiaiw tFtdi]gF wg Wt eae OCUgllC TD te 2? Ft Goritt gapity Ff,,
"OO le ee ——_—_—rc a ae dig ili ila, il ils il ids ill ily, li _ @ @ 7 7} }8€=—CUMm ll lili, ill ids ili il, ils ill -- —U Ol PeieO—OhUChC hall lhc OllhC rl llhUMhCaCehUhChKSKOKXniie TS LULUmUCmSOTCOC~—",,
"Ch—U SCOellh ——eelCORTOCr OCU UC Cl LClU LLDCl(ClCclllrUre tt tCllCUrlrrree i lc Ul rr Tl rT lCCOlhlC ClTlTlhlhlhlhlhlULhLaSTSeTlCeeerrerrelUmUr cLUlUlUCc UCU KrCThlhUCCrhkhlUvrrrrUwWwlhC(COUOCTFTCUCMhhUhrfeTsest iC ldClUc aTCTrTOlUhC ChCUhUhCUC '/Desea.slLClcLhlrlh hOUCrrlhUClCUhC lCUrlChhUCUhUC CCDCClUhUfTlhlhFAa— dl Oi hUClCrrhUClCcr——UClCUrr—hl rh rr—hUhUChh——_—_—UhCcCk kt —_—_aeo—lUClCrcrOUChCrr—OUCOC rCUCrcCrCUrC Uh"" rdhKhl(lC relelCUrLrCC rlLUC(‘<C HTC HRUCUvVSChCLULUCU O_O TUE OC SlllCrLTTC CC CTCTUlCcC ir SZSOUCtéCaCrTSZC;C;C rmhChlCUcrmrmrclmUmrererlaecTUermlc<Ci<irRSST™mCCWF!COCé~;",,
aaa i i,,
FO i ean rt amsan.wm orien! prirvms ert . MII OUTTA Ow UME TTA LL OULU EL | C7? QFigy gaia) ft,,
mre eceeeeeeee e —,,
te OLE VL i belo bee toes 6m OP mcter.f scerammsr Va . Wit 1 B3FieF «. MELT eevee J Feo 7. te Ait} Geriti gafity ft,,
saa sa,,
"SS, ee ee ee a rr i i | ae Fs. a |",,
Fs . —6F LG UP PT BES OE SE ERLE. SUG Ith tl tlUlUlti(‘ ‘Ci wt aE BIT tCUglCK de oe et lS0Ulc( w:d«Cdl eM AEE RE CU tl COM me ok tt El aE CURE Re el lCUk( (‘<é‘édaREC ae ce Be Bel Ge tlUC<Cir‘iéiat(<i<i<«iwaC he Cl le Fs . IF Jeg e et FePiu dan eetFei di Ff,,
Neen ee,,
Fs. a a Oe ee ee ee a a a a ee a ee ee ee a a a a a ee a a a ee Le a ne Fs. |,,
TT ys Tn eee nnn nen EE EEE a OEE SA IS RN JR DDO ODO To,,
"pNP Pe Ne, EL ca Sc PR",,
Fs. a i a a ee a ne a a a a a es ee |,,
Bh4Al pO EER SSS i EEE EEE EE 30n nno nno ft,,
"pa E RSL CHEE Seca, PMASE Ss",,
1 TIL ONnsrricTion OoTt oAasal koa / Shore Frorection aiongog BRafantay LAS haz - Sarangdav hFM es,,
tT APTA 6 hp tt lk lel lm lt keh kee | ae ee ee,,
ee ee Eee EE Eee OEE eee Se eS,,
"gg, |eonstruction of Coastal Road / Snore Protection along Barangay Del Razon, Gloria, Grental | 9360 NNO ono |",,
pee E PE RE,,
641 Onstuction of Coastal Road / Snore Protecuon along Barangay Estrela - Barangay san |,,"250,000,000"
Teaneiniction of Coactal Raad / Shore Protection along Barangay Estella Naan Ovental lo,,
tT APTA... | Ph AP OP Ss Oo,,
amie) 4 Abe,,
"4, [Construction of Coastal Road / Snore Protection along Barangay Inron, Carntaan, | 93650 NNO OND |",,
ALLE PEE,,
if oncrnicrinn Orit Oacral Kom CU6TlCU SOKO era ero AANA eArorfinye VMLialawaAaMs OMIT | t,,
TL A ed Bat Oe Oe | (29 UU UY,,
Traneniction of Coadial Road / Shore Protertian alono Barangay Macaaling Naan),,
tT APTA. .. lg fl lggt yy | ar ee ee,,
"B-d1fL""1S2” 1 ak",,
"g4, [Construction of Coastal Road / Snore Protection along Barangay Meigar A - Barangay | 93650 NNO OND |",,
"vera Dy, Naujoll, Vel ital PU",,
"642 |Lonstruction of Coastal Road / Snore Protection along Barangay Meigar A, Naujan, Oriental | 9350 NNO ON |",,
MeL Ee,,
TT it anstniction oT ( oastal Roa / Shore Protection along Barantiay Meioar BB - Raranfay | en ©,,
"42 |Construction of Coastal Road / Snore Protection along Barangay Meigar B, Naujan, Ortental | 93650 NNO OND |",,
"64? |Lonstruction of Coastal Road / Snore Protection along Barangay Misong, Naujan, Orrental | 9350 NNO ON |",,
MeL Ee,,
TT It anctriction oT Coastal Roa / Shore Protection along Barantiay Montemayor. Natunan. | en ©,,
MN Tel ne LW nkal AIM dAAro | (ai VV,,
oD PERE IIE RAE NAAR CASSLGAE ENRICEE f= PENNDT SS TRG LINET] GIT GIGS GT PRG Miia © Saran yey | 350 nn0 000 |,,
"PMUIGUIVIT, Vaviiidall, ALICE Mu",,
qT 67D ee ee ny: ON =! EE IN ED EOE NN OEE ENN 350 nn0 000 1,,
AA LIME PH,,
Fs. a a a a ee a a ee ee a a a Fs. |,,
TT fo een nn nee nn nn en nn nn EI EEE AT 2h] DDO ODO f,,
TT if oncsniction of Anrme-iocos Norte fo Atra-Kalinga Roar! Rynass Koan. Ranguen and flavum. ns ©,,
TT Mt Tias | eM eee,,
e eee a ee $$$ 4,,
"_- F's ££ Fr” , i Fe BR me Ul le h—lUrO ll —mpei(<iaiaiesig BOOT gl lw Ml l_ HK G LG RS OOM I TC Cc Cr ll OCreCcC lc Orr; TE hUhUCUr,hlClCltlCOr rl ls irr lc CT rhltci‘<i‘is<‘CrSSlrr”r”C~— Cl LULU Fs. lh—U6v?FllCUMrr CUO SDSThLUC<i «ira UTC UT tlhlUC‘i Kr SCOT TTC ekhUlC‘<“‘C SC:",,
Construction of Access Road to Maharlika Highway in Support of Coconut Processing and | am een nnn |,,
oe ee” ee me gm mmm gl —_ —_ — ew Fs. — /: FP Be es ar wr hr OUela a CU Trlti(‘<éi‘é‘i’mtC*#,,
4s SELES ECS OPS! PUR eetlCU Ll LITRES Hw Lic. fe. iw eeee!t Ifa eee fs! |flklCUCnh eee AR PEE UtlCUdTlCUtcdicle os. wr t st.,,
1 oo UT Ons TIcTion OTF Access KOA tO Mana»nika FWonwavy in SwUOnNOoOm OT LoOcoONnUT Krocessing ang | ns i,,
st. FF FF FF ee a a t eh a 8 OZ eo CU,,
OO EEE eewerroooeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeereeeeeeeereeeeeeeeeeeeeeeeeeeeeeeeeeeeeeererererererererererererererereeeeeererereeeereerereeeereeereeeeeeeeeeeeeereerereeeerereeeeeeeeereeeeeererererereeeeeeeererererereeeeeeeeeeeeereeerereeeeerereereeeererereerereerereeeeeerereeeeeeereeeeererereeeeeerereeeeeeeeeeeeerereerereeoeeeeereeeereeeeeerereeereeeeeeerereeeeeeeeeereeerereererereeeeereeeeoeererereeereeeereeeeereeeeererereeeerererereeeeeereeereeeeeeeeeeeeererereeeeeeeereeereeerereeeererereeeeeeeeeeeeeereeeeeeereeeereeeeeeeeeeeeeeeeeeeeeeeeeeeeeerereeeerereereereeeereeerereeeeeererereeeeeeereeeeeeeereeeeeeeeeeeeeeeereeereereereeeeerereereeeerererereereerrrrererererereoeoeoeoeoeoeoeoeoeoeoeerereeoerererererereerererererererererererereererererereeeeeeeeeeeeeeeeeeeeeeeeoeeeeeeeeeeeeeeeeeereeeererererererererererereeererereeerererereerereeeeeereeeeeeeeerrerereeeeereeeeeerereeeeeereeeeeeeeeereeeeeeeeeeeeeeeeeO,,
1 HISILONSKIcTON oT AiTematre Koa Trom Pananno tivsJavan Lnv. ePnase |. Davan oe Nore i $f LSE CULM GPEd? of,,
HE it ONsnriictinn oT Anin t onAcsaAl hkMmart OSIinnornr § Amarnne siir. | 1a OE TG) Gea oT,,
st. Baa FU il t hh) SES ff ££ wt hCUECW CC }hCUC,,
"st. i laa, le ae ce ee t rr is ie",,
if onstmiction of Rarangay Tigquind Road leariing to Touid Righiangs and Camning (sroungds. | ee ©,,
TT ME mee we | MMV,,
42 iConstniction of Rarcelonita Coastal Road Cahisan. Camannes Sur. | 1490 312 nNo Tt,,
642 lConstniction of Rarcefonita. Cabusag to Mangos. Sinocot Coastal Road Camannes Suro] 140 751 000 |,,
"te BPD F FL LEE ese LIE GER REE LE OL ee aiciecogss | Oo ™ «FPS PLIES colt TLL tas LPL EGE) VY OPS ILS UP rr ALI h COM, te KF GES REELS PT Gee OE",,
"eee eee, eee",,
Tt. ER OD F EL LEE EST LIE Pe REE LE OL Picco! | 6 ™ © «6S SLI cee Olt CLI tas FL LUE GE) OPS ISLS OP cr ALI | 6LD te KF ET RPL EL ST Cee OE,,
tt ER DF EL LEE Ese LIE GER PE OLE OL ee Bie! | lU™ «PSE PL IE cv Olt FL Lass FL PLETE TE) Ww OPS ISLS OP cr Ace. C4 te KF JES EER SP GEES OF,,
G27 IConctniction of Cabiaqaan — Anurawan Croce Country Road Package D 2350 nN0 0n0,,
aaa ieee,,
t fA S AP RM me mee eee me me Ck COP el ee ees ae sl CU6PlUre Ah EGE ODD ae SXtlCOE ere ae eee) )=6O6fl leer eee ee ee OU lc t At) ££ EIL €aeferi OFT,,
EVI fAnctnmictinn af fandans . BPaliusan Daan (Dacin Caortinn’s fandaha Darmnannsa | nn nnnont ft,,
1 hts lif oanctoictinn oT ( are - Villa Aniinay lDiversinn Rom (Seanment 6) lariarc 1 TOs) Guba) Ce) oF,,
te RP. D JEL LEE LIE be PEE OLE OL eS eh 6©™)6hCUV Tied PSL seo LJivee! SILJTi Pires Ff COE SLITEICort 6TOE.)h OUE hcl ie. te LOPES BEL eT Gees? £.,,
te LSE ae La PER BE LB OL eer a PRE A EEE LE Pe be ee eee eh TRL EL I OULU PL LE Eee ILE] «6 TER PEGE Rc Oe SE. te ee oe,,
"1 “|S alaquete, Cebu | “eee",,
"MLOPAMISUULUIOI UP LdaUidod!! Md IDCOuUIIgD Ly LVS. USUriGuiiil! at PR. head ydos, Vii, UU | BN VU Ue",,
1 TL ONnsricTinon OF t oOAaSstal ROA! / SNnOre Frorecrton ainong BRafoantay Afieia - Rarantay 1 es,,
tT Pritt = «. ee ee | ee A OP sO,,
eee Ee es Pe Ee OE Ee eee ee eee,,
it onstrniction of ( oastal Road / Shore Protecton along BRarangay Agosaiin. (siona. (mental | es ©,,
qT ee Tein AaArs 1 NE PE EEE,,
"rT"" _,_ _lwloG_qQ353Q07”0 =v",,
sg f ELL ASPE ESL LILLIE LE LAs Sktot ACR OF CUTTS PIU La! |) OIL boaidiiwjiay Pullliidav. LAJiWwagJViitl. | | en mann ann ld,,
1 ss IL ONnsrricTinon oT (oAaSstal ROA] / Snore Frorecrtion ainong Rafoantay BRuilakliakan. tsona. 1 es,,
tT APTA... lg kl lgar s | ee A OP sO,,
Neen ee,,
Tt IP anette ictinn AT FIBA NITtOAT An Sfiirtilre fRPASsA Tl) FHaArFAntaAy ) Lig 61 ann CUP AMmaAnhee ULM ee,,
"t Arastw ie, a ne | ho a OU",,
Tt TTanecthirtinn OF FO Kboainn Smirvriire Aalnann StH OC neth Kiver Sa 10ST) eS 1 Tt,,
t eT ie ee a | RASS LILI CL Oo,,
2S ae ee) ee,,
TT sos IE anstruction of Fiood Pipocation Srwrture ar Pins kiver Brov. Sanand Fins. Ssuenayvistsa. t+. es ©,,
tT eae FTL | he de ee,,
Tt IP anette i¢tinn AT FIBA KUITOAT AN Sfrnirtilre Albhn Tianitan Kiver fan Rote ft linetrenramn\ + ee,,
tT a a | awe,,
"een eee eee eee een eee, eee ee eee eS OS",,
TT IL anctruction OF FiDod Mittoaian Strurture. Baranfay latanh Pandavan (section 7}. | ee ©,,
t wwii elm | at ot WO,,
fae Beh Shed BD Nd Set Net Pe Fp Re ed POP Sed Bd,,
TT IL anstruction of Food Mirdcation Sturture. lava engage. AaAdnutment B. DOwnNnsTreamn Section | es ©,,
tt SPs OU UTE eek Cast TT ae baer ifia figal frie Q3 «= oe sig te tt,,
OO EEE eewerroooeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeereeeeeeeereeeeeeeeeeeeeeeeeeeeeeeeeeeeeeererererererererererererererereeeeeererereeeereerereeeereeereeeeeeeeeeeeeereerereeeerereeeeeeeeereeeeeererererereeeeeeeererererereeeeeeeeeeeeereeerereeeeerereereeeererereerereerereeeeeerereeeeeeereeeeererereeeeeerereeeeeeeeeeeeerereerereeoeeeeereeeereeeeeerereeereeeeeeerereeeeeeeeeereeerereererereeeeereeeeoeererereeereeeereeeeereeeeererereeeerererereeeeeereeereeeeeeeeeeeeererereeeeeeeereeereeerereeeererereeeeeeeeeeeeeereeeeeeereeeereeeeeeeeeeeeeeeeeeeeeeeeeeeeeerereeeerereereereeeereeerereeeeeererereeeeeeereeeeeeeereeeeeeeeeeeeeeeereeereereereeeeerereereeeerererereereerrrrererererereoeoeoeoeoeoeoeoeoeoeoeerereeoerererererereerererererererererererereererererereeeeeeeeeeeeeeeeeeeeeeeeoeeeeeeeeeeeeeeeeeereeeererererererererererereeererereeerererereerereeeeeereeeeeeeeerrerereeeeereeeeeerereeeeeereeeeeeeeeereeeeeeeeeeeeeeeeeO,,
Tt — IL onstruction oF Fiond fhitidgaitnn Shhcture. tava srigge. aApnutmenrt B&B. VOWNSsTreamn Sertion | ee,,
"st. ite ?.—lCr CT I ,CUlUlUc rr lll( lr l TT ST SO Oe), LULL a eee OCP t rs oe",,
tT Tf anctrirctinn AT FIBA Nrhratinn S&Poirtiiro lava enAneat Bhiithant & fT wWwwrottrearn | | tT,,
per oe Se Fr - Se Fs. —6dy OU2tlhUrSEtThUFlhlC<i—ir RSC OC alhUmrlmhlcC(ié iraRSTCOrh Or aehUmrrmhmlc(<éi‘CrS*:Ct~:,,
st. a ere ee lUCUCU llUCUdlUl eel CUCU kh rtlC Pl TT el! SS. Oe COP ee Um CULL EK er eee CU lL t rs oe,,
Sr lCUlC el ee tlc lc l ee lUclCccccetl lowell eSSeltCaSED OO ll tlC ll tll ll Oe Oe el lClUcrel( illCcelC Kl ltl ee Cle l ct lc crc ll leet cr LCC cell eeelC Ol OO FT Tl elle lULlClCt ie lO eel(llC OL lc cell telllUe ON eel (lC DOOlUrhUCCUlUlC és OFC TC TFTrlhlC(is;s<(<sCstsé(CtétCC DSC SS Ol OO Ol rl! Fs. |,,
TT PMI a ota. oe Mw Ta el Bh wl me” | AV VU Ue,,
rT V—_ hOVkklh6RMR Ul ee ees aie ake lUUrO OlUCUEETCcLELlUCr !lUrrllUrrllCUmel CB ee Re SE RR ehCUrtlC( it hh0UCUC le Ul Rs hlCUlLUClcUrcr ee eR mE Cl Lele lc trrTCrLT KhlhUhC)UWlUrLlhlc(feh re or lUlUlCraRClC lll l(c eR etl (ll lCUr CClC Ll OO TTFhUhC ;s;wlChlC(<‘iTSZCOCOCrLrK lL TFT lC HlTUlhlhehCULrlCL hTCULr UCC CTC Cl CUTlc( i‘i‘i‘i‘a‘iaé‘ cET)UUlC lll rl! Fs. |,,
BB EE EEE IEE EEE |,,"100,000,000"
eee eee Oe eee Oe ESO es OS eee,,
tt if A Asters i *4£Feres OP Rr ORs eA Oo Pe ee ire AaAe Ss Gk PehCUDTlUrm SPR CULL tare lCU ee! ee S|.|hUCUCU CU CULE ORE} TOES te tt,,
OF ew me wm mI | £UUUUU UU TT,,
eee eee eee ee eee OE eee et,,
tS .lUlCO el ee ctl lt lc ee lUclCccetllewllreelc eSeSeltCSSD OO l tlC ll tll CO el Oe Oe eel lClUcrel( illCcelC Kl lll ee Cle lt lc ll etl LCC cell eeelC Ol SOO FT Tl elle lULlCOet ie eel llClCM PRL lc C kel OC ettlllU OC RN el (lCUM LOOUlUCUUDUCUCUOlUlmlUCrctl( Cr DOCUlCitrHSrhC CU]! UO CU OC FF ThCsC(s—C—C(—C(<‘iCDD SS OO TF! Fs. |,,
"TT PI we Ott. ne ee Te dl Bo wk Ot met | 2A VU,",,
"3g [C0nstruction of Mocd Mitigation structurealong sto. Cristo River, ota. 1U+/20- ota |",,"100,000,000"
ee ee. lenses ee eee eee semen teams,,
y SJR ANnsthiirtinn OAT acihy anone ADonh BHNnhnnnan wiver iIMNcChindA annrosas nee jf arch AnraA hE TARE CEN) Gti) oF,,
tT He stl ONATrilicTinn OF Viana ti OoOasTeal ROAM USINOCOT 6tlCaMarnes Sir. | 14am FS FSP Oe,,
ha tit aneatrilctinn Af Mannfa( Ameral KOA OUSINnNOrhot € amannes Suir fS$aonmenr A) 1 140 #S0) Pit) fo,,
st. ey UIT ER ULC L EE OLIE OP GG PEE CUCL COP EL EL SL SE eee ee PEE CUP OT LE |00lCUCUdl lca ers Oller hLUCUd CSL t | “SGT FRPEPL PF FERC PLP FF,,
Tt haSif anectrilictinn Of Monrana - San Mane Seva ROA MAMAN 1A) OT Arias 1 TOT PO) Pb of,,
ha/Jit aneatrilictinn of Monrana - San Mane! Seva BROAN FP MAOmener 1 7) OULLArae 1 TORT TN) Pb of,,
ICanectrniction of Mulst-Pumnce Biniding (Goavemmont Canter) Rarannay Gaddari Taviim:,,
"TVEANEAD Oe, —_ — 1 OVE VOY UY fT",,
"st. ie FG Te ee eae eS, UP OR ee. hU ee Or eae el Oe ee lCULEGlUC Oe eo tt .DhlUlUlC(ité«~C t Be OEE £Fabtaidg & EE be CUE",,
eeeeeeeEEeEeEeEE—eeeeeeEeEeEeEeEeEeEeEeEeEeEeEeEeEeEeEeEeEeEeEeEeEeEeEeEeEeEeEeEeEeEeEeEeEeEeEeEeEeEeEeEeEeEeEeEeEeEeEeEeEeEeEeEeEeEeEeEeEeEeEeEeEeEe__eeee,,
Tt oo TE ANSIHIcCTiON OF (L.oAastal khOA S CUSNOreE KFrorecoon aiongdg Bafrantlayvy Foniacion.$ Latntaan. 1 ns,,
TT ee nt deel RAIA | eee,,
Ieanetruction of Coadtal Road / Shore Protection along Barangay Proper Banaid Bancid _,,
"t MP Thi.) 6, lb lh marhltt | ft Ve Ve",,
pee Bark Pa Reeh OF OEE Dh ee Be,,
TT It onstruction of (oastal Roam / Shore Protercnon along Baranfay Prope |iguisan. Bansuo. [| ee ©,,
"t PF Fat. ,dlUCU,lClUltlckettlhlUl | eet a Oo",,
EE Aaerriictinn OFT OAscrTAaAl koa SC CUSNOre KFrROTernon Alon Ra©ranfiay Chiinannonan Kmna@mialiavan [| es i,,
eT ns ed AA de a re | (of VU ew,,
tt ee LSE Re LIL REP OLE OL eee Set Pe OF CUE EL PL EO OP aL AEB | OEE ELL OLE ice OPEL ER eo) thd OU) Ce eg ici y | te es oe,,
esti eh Pee ee ee a,,
T It anstriction of Coastal Koat / Snore Protercnon along Baranfay Ssaireno. Bansio. Cméntal | ee ©,,
t AP Pat. ls | eet a Oo,,
Tt — TL Onsriction OF Loastal RKOad / SNOre Frorercoon aiong Ba@ranflavy Salvation - Bamnogay i £$iitft es oe,,
EE Eee,,
Re eK Ow eae ee a ey UK ee UOT ee OULU ee SUlUC<“i PEC(i<i‘ié“‘ RC CUCU ee ee ee a eel i ee eK lO ee Oe el lCUCU GG elC(iéi‘iiC ee ee ehUC«mC CL ret rte lc (itéiéi‘ia‘;’C Kk er eC .,,
"qT BFE] £959U,0U0U0,0U00 |",,
TT — _ it ONnsnmictTion OF (| oastal hoa / SNOre Frorecoon aiong Barfantflay anniong. tsioma. umenta i es,,
t AP Pat. ls | eet a Oo,,
bMS sk 2,,
TT It onstruction OTF (oastal Koa | Snore Proterconon aiong Baranfay 7One Ill - Barantay | ee ©,,
